"","ID","Finished","Q1","Q2","Q3","Q4_1","Q5_1","Q6_1","Q7_1","Q8_1","Q9_1","Q10_1","Q11_1","Q12_1","Q13_1","Q14","Q15","Q16","Q17","group","sum"
"7",1,"1","1","3,5","50","3","4","5","5","4","3","4","4","4","4","2","2","5","2","group2",40
"8",2,"1","1","3","1","3","2","3","3","4","2","2","3","3","2","4","2","5","2","group1",27
"9",3,"1","1","5","9","2","1","1","2","5","3","1","2","2","3","2","1","1","2","group2",22
"10",4,"1","1","4,5","33","4","4","4","4","2","4","4","4","4","4","2","1","5","2","group2",38
"11",5,"1","1","5","42","4","4","4","2","2","3","3","4","3","2","2","1","5","2","group2",31
"12",6,"1","1","3,5,7","3","2","2","2","4","4","2","2","2","2","4","1","1","5","2","group2",26
"13",7,"1","1","5","33","2","2","2","4","4","2","2","3","4","2","2","1","5","2","group2",27
"14",8,"1","1","1,3,5","31","3","4","1","4","5","1","2","4","5","3","1","2","5","2","group1",32
"15",9,"1","1","5","6","2","2","2","2","4","2","2","2","2","2","3","2","5","1","group2",22
"16",10,"1","1","1,5","22","3","4","4","3","5","3","2","2","2","3","2","2","5","2","group1",31
"17",11,"1","1","5","5","2","5","2","3","4","4","2","2","2","4","1","2","5","2","group2",30
"18",12,"1","1","1,5","48","3","4","2","3","4","4","3","4","4","4","3","1","6","1","group1",35
"19",13,"1","1","5","48","4","5","3","4","3","3","5","4","4","4","2","5","7","3","group2",39
"20",14,"1","1","5","25","3","4","3","4","4","5","3","4","4","3","3","2","6","2","group2",37
"21",15,"1","1","1,2,3,5","14","4","2","3","3","5","1","5","5","5","5","1","1","5","2","group1",38
"22",16,"1","1","5","2","4","4","4","4","4","4","2","4","4","4","3","1","5","2","group2",38
"23",17,"1","1","1,2,5","39","3","3","2","2","5","1","1","1","3","2","3","1","5","2","group1",23
"24",18,"1","1","3,5","5","4","3","1","4","5","4","2","2","2","2","1","1","7","1","group2",29
"25",19,"1","1","5","48","4","2","2","3","5","2","2","2","2","4","3","1","5","2","group2",28
"26",20,"1","1","5","7","5","5","5","5","5","4","4","4","4","5","3","2","5","2","group2",46
"27",21,"1","1","5","11","2","3","3","4","4","3","3","2","2","3","2","2","5","2","group2",29
"28",22,"1","1","1,5","40","4","4","4","3","4","3","3","4","4","3","2","1","5","2","group1",36
"29",23,"1","1","3","21","4","3","5","4","5","3","4","3","4","4","3","1","5","2","group1",39
"30",24,"1","1","5","38","2","2","2","4","4","2","2","2","2","2","2","1","5","2","group2",24
"31",25,"1","1","3,5","47","4","4","4","4","4","4","4","4","4","4","3","1","1","2","group2",40
"32",26,"1","","5","15","4","4","2","2","5","2","2","3","3","4","3","2","5","2","group2",31
"33",27,"1","1","1,5","22","2","2","4","","4","3","2","","","","2","1","5","2","group1",17
"34",28,"1","1","1,3,5","11","4","5","4","4","4","2","2","4","4","4","3","1","5","2","group1",37
"35",29,"1","1","5","47","3","4","3","4","4","3","3","4","4","4","1","1","5","2","group2",36
"36",30,"1","1","3","44","1","2","2","2","5","1","1","1","1","1","2","2","2","2","group1",17
"37",31,"1","1","1,2","22","4","4","3","3","5","5","5","4","5","4","3","1","5","2","group1",42
"38",32,"1","1","3,5","44","1","2","2","1","1","2","1","1","2","1","1","1","5","2","group2",14
"39",33,"1","1","1,2,3,5","5","3","3","4","4","4","2","2","2","2","2","3","2","5","2","group1",28
"40",34,"1","1","1,2,3","39","2","1","1","1","5","1","1","1","1","1","1","3","5","2","group1",15
"41",35,"1","1","1,3","48","3","2","2","3","3","4","2","4","5","3","3","1","5","2","group1",31
"42",36,"1","1","5","21","3","3","3","4","4","3","2","2","3","3","2","2","1","2","group2",30
"43",37,"1","","5","48","3","2","2","1","5","2","2","3","3","2","3","1","5","2","group2",25
"44",38,"1","1","5","37","3","2","4","4","4","4","2","4","3","3","2","1","5","2","group2",33
"45",39,"1","1","1,3,5","33","3","2","2","4","5","1","5","5","3","4","3","2","5","2","group1",34
"46",40,"1","1","1","","4","5","3","5","5","4","2","5","5","4","2","2","5","2","group1",42
"47",41,"1","1","5","43","3","4","4","4","4","4","2","5","2","4","3","1","5","2","group2",36
"48",42,"1","1","5","1","4","5","4","5","4","2","3","4","4","4","3","1","5","2","group2",39
"49",43,"1","1","1,2,3","5","1","1","1","2","3","4","1","1","2","3","3","2","5","2","group1",19
"50",44,"1","1","2,5","39","3","2","4","4","4","4","1","2","2","4","2","1","5","2","group1",30
"51",45,"1","1","5","10","4","3","5","5","4","4","3","5","5","5","3","1","5","2","group2",43
"52",46,"1","1","5","47","4","4","4","5","3","5","4","4","4","4","2","1","5","2","group2",41
"53",47,"1","1","1,3,5","36","4","4","2","4","4","4","2","2","4","4","5","5","7","3","group1",34
"54",48,"1","1","3,5","3","3","4","4","4","4","4","4","4","4","4","2","2","1","2","group2",39
"55",49,"1","1","5","47","2","4","4","5","5","3","2","4","4","4","5","5","7","3","group2",37
"56",50,"1","1","5","47","4","4","3","4","4","4","3","4","4","5","4","1","5","2","group2",39
"57",51,"1","1","4,5","47","2","2","3","3","3","5","2","1","1","2","5","2","5","2","group2",24
"58",52,"1","1","5","29","4","4","4","3","4","4","2","3","4","4","3","1","5","2","group2",36
"59",53,"1","1","3,5","44","2","2","2","2","4","4","1","2","2","2","1","2","5","2","group2",23
"60",54,"1","1","5","47","3","4","4","4","5","2","2","4","4","4","3","1","5","2","group2",36
"61",55,"1","1","1,5","47","4","4","4","4","4","3","3","3","3","3","2","1","5","2","group1",35
"62",56,"1","1","5","47","2","2","4","3","4","3","3","3","4","4","2","1","7","2","group2",32
"63",57,"1","1","5","43","4","4","4","4","4","4","4","3","4","3","2","2","5","2","group2",38
"64",58,"1","1","1,5","47","4","4","4","4","5","","4","4","4","5","3","2","5","2","group1",38
"65",59,"1","1","1,2,5","47","2","2","1","4","5","4","2","2","3","3","4","1","5","2","group1",28
"67",60,"1","1","5","47","4","4","2","4","5","4","4","4","2","3","2","1","5","2","group2",36
"68",61,"1","1","1,5","47","2","2","2","4","4","3","2","3","4","2","2","1","5","2","group1",28
"69",62,"1","1","1,2,3,5","6","2","2","4","2","5","2","4","4","4","2","3","1","5","2","group1",31
"70",63,"1","1","5","44","2","4","1","2","5","1","2","2","2","4","1","1","6","1","group2",25
"71",64,"1","1","5","47","2","2","4","4","5","4","2","3","3","4","3","1","5","2","group2",33
"72",65,"1","1","1,5","44","2","3","3","4","4","3","3","2","3","4","2","1","5","2","group1",31
"73",66,"1","1","1,5","47","3","1","1","3","4","4","1","1","2","2","2","1","5","2","group1",22
"74",67,"1","1","5","44","4","5","4","5","5","4","3","4","4","5","1","2","5","1","group2",43
"75",68,"1","1","1,5","44","2","2","3","2","5","4","1","1","1","2","2","2","5","2","group1",23
"76",69,"1","1","1,3,7","33","3","4","4","3","4","2","1","3","3","2","1","4","5","2","group1",29
"77",70,"1","1","1,3,5","22","2","2","2","2","4","2","2","3","3","2","4","2","5","2","group1",24
"78",71,"1","1","5","","","3","","","","","","","","","","","","","group2",3
"79",72,"1","1","5","44","3","4","3","4","4","4","3","2","3","3","4","1","5","2","group2",33
"80",73,"1","1","1,3,5","44","3","2","2","3","4","4","2","2","2","4","3","1","6","2","group1",28
"81",74,"1","1","5","47","2","3","3","3","4","2","2","2","2","4","2","2","5","2","group2",27
"82",75,"1","1","5","47","3","5","4","3","4","4","4","3","4","5","3","1","5","2","group2",39
"83",76,"1","1","3,5","5","2","2","1","2","5","2","2","3","4","2","4","2","5","1","group2",25
"84",77,"1","1","5","21","2","2","4","5","4","4","1","2","2","4","2","2","5","1","group2",30
"85",78,"1","1","3,5","39","1","3","1","2","4","2","2","3","3","2","1","2","5","2","group2",23
"86",79,"1","1","3,4,5","6","2","2","2","3","4","2","3","3","2","4","1","2","5","2","group2",27
"87",80,"1","1","5","14","4","5","5","4","5","5","3","4","4","4","3","1","5","2","group2",43
"88",81,"1","1","1,2,3,5","5","5","5","4","4","4","3","4","5","5","5","4","2","5","2","group1",44
"89",82,"1","1","1,2,3","5","1","1","1","1","3","4","1","1","2","3","3","2","5","2","group1",18
"90",83,"1","1","5","31","2","2","2","4","4","2","2","4","2","4","3","1","5","2","group2",28
"91",84,"1","1","2,5","30","2","4","3","2","4","4","2","2","2","3","1","2","5","2","group1",28
"92",85,"1","1","5","11","2","4","4","3","5","4","5","4","3","4","1","1","5","2","group2",38
"93",86,"1","1","5","21","3","2","2","4","4","2","2","3","3","4","2","1","5","2","group2",29
"94",87,"1","1","5","23","3","4","3","2","5","4","2","3","4","4","2","2","5","2","group2",34
"95",88,"1","1","5","11","3","2","3","3","3","4","2","2","2","4","5","5","7","3","group2",28
"96",89,"1","1","5","","3","2","2","4","5","4","2","2","2","4","3","1","5","2","group2",30
"97",90,"1","1","3,5","36","2","2","4","4","5","4","4","4","4","4","3","1","5","2","group2",37
"101",91,"1","1","5","44","2","4","2","4","5","1","4","1","2","2","2","1","2","2","group2",27
"113",92,"1","1","5","47","4","2","4","4","4","2","1","2","2","4","2","1","5","2","group2",29
"116",93,"1","1","5","10","3","2","4","4","4","4","1","1","1","4","3","1","2","2","group2",28
"117",94,"1","1","3,5","39","2","2","2","3","5","3","1","2","3","2","2","4","5","2","group2",25
"120",95,"1","1","5","22","2","4","1","2","4","1","1","2","2","2","3","1","5","2","group2",21
"124",96,"1","1","3,5","6","2","4","3","4","5","4","2","4","4","4","4","1","5","2","group2",36
"125",97,"1","1","5","5","2","1","1","3","4","4","2","4","4","3","3","1","5","2","group2",28
"130",98,"1","1","3,5","38","2","4","2","2","5","3","1","3","4","5","3","1","5","2","group2",31
"133",99,"1","1","1,2","5","2","2","3","2","5","3","2","3","3","3","2","3","5","2","group1",28
"135",100,"1","1","5","22","4","4","4","3","3","3","2","4","4","2","2","2","5","2","group2",33
"138",101,"1","1","5","33","4","3","4","4","3","2","2","4","4","4","2","2","5","2","group2",34
"141",102,"1","1","5","43","2","2","4","4","5","5","3","4","3","5","2","1","5","2","group2",37
"144",103,"1","1","1,3,5","39","2","2","4","4","3","4","1","2","2","5","4","2","5","2","group1",29
"148",104,"1","1","5","26","4","2","1","4","2","4","3","3","2","4","1","1","5","2","group2",29
"149",105,"1","1","1,2,3","33","3","3","2","4","5","4","2","2","2","2","2","1","2","2","group1",29
"157",106,"1","1","5","17","4","4","4","3","4","4","2","4","2","4","1","1","5","2","group2",35
"165",107,"1","1","3,4,5","32","2","2","3","1","4","2","2","1","1","1","2","1","5","1","group2",19
"168",108,"1","1","1","44","3","4","3","3","4","4","3","3","4","3","3","1","5","2","group1",34
"171",109,"1","1","3","22","3","3","2","3","4","2","3","2","2","3","3","2","5","2","group1",27
"172",110,"1","1","3,4","22","1","2","2","2","1","2","2","4","2","","3","2","5","2","group2",18
"173",111,"1","1","1,3,7","47","3","3","3","4","4","5","3","3","3","1","3","1","5","2","group1",32
"174",112,"1","1","3,5","49","4","3","2","2","5","2","1","1","2","2","2","2","5","2","group2",24
"175",113,"1","1","1,5","39","2","2","1","2","4","3","2","2","2","2","2","1","6","1","group1",22
"177",114,"1","1","5,7","29","2","2","2","2","5","2","1","1","2","3","2","1","5","2","group2",22
"179",115,"1","1","5","29","2","1","2","3","4","2","1","2","3","1","2","2","5","2","group2",21
"181",116,"1","1","1,3","48","4","2","4","4","5","4","2","4","5","2","3","1","5","2","group1",36
"182",117,"1","1","2,3,5","39","3","2","3","4","5","4","2","3","2","2","2","2","5","2","group1",30
"183",118,"1","1","5","29","2","3","2","2","4","2","2","2","2","2","3","1","5","2","group2",23
"188",119,"1","1","3,5","6","2","1","2","2","4","2","2","2","1","2","2","2","5","2","group2",20
"195",120,"1","1","5","19","2","2","2","1","4","4","3","1","2","2","1","2","5","2","group2",23
"196",121,"1","1","1,2,3,5","14","2","2","3","4","5","1","2","4","3","1","1","1","5","2","group1",27
"197",122,"1","","5","23","5","4","4","4","5","4","2","2","4","4","3","1","5","2","group2",38
"198",123,"1","1","5","33","4","4","4","4","4","2","1","4","4","3","4","1","5","2","group2",34
"199",124,"1","1","3,5","19","4","3","4","4","4","3","4","3","4","4","1","2","5","2","group2",37
"200",125,"1","1","3,5","33","2","1","1","4","3","2","1","2","1","1","1","1","5","2","group2",18
"202",126,"1","1","5","20","2","2","4","4","5","2","2","3","3","2","2","1","5","2","group2",29
"203",127,"1","","5","38","4","4","4","4","5","3","4","5","5","5","3","1","5","1","group2",43
"204",128,"1","1","5","26","3","3","2","4","5","5","4","4","4","3","1","1","5","2","group2",37
"205",129,"1","1","5","47","2","2","4","4","4","2","2","3","3","4","2","1","5","2","group2",30
"206",130,"1","1","2,3,5","28","2","2","1","2","4","1","1","2","2","1","2","1","5","2","group1",18
"207",131,"1","1","1,3,5","19","2","2","2","2","5","4","1","4","4","2","1","2","3","1","group1",28
"208",132,"1","1","5","","5","5","5","5","5","2","1","4","4","4","1","1","5","2","group2",40
"209",133,"1","","3,5","5","2","4","2","4","4","3","5","5","5","5","1","2","5","1","group2",39
"210",134,"1","1","5","18","2","2","4","3","4","3","2","2","2","3","3","1","5","2","group2",27
"211",135,"1","","5","5","2","1","4","2","4","2","2","3","3","4","1","1","7","1","group2",27
"212",136,"1","1","3,5","31","4","2","4","4","5","3","2","4","4","2","1","2","5","2","group2",34
"213",137,"1","1","2,3,5","48","1","1","2","2","5","1","1","3","3","2","1","2","5","2","group1",21
"226",138,"1","1","1,2,3,5","6","4","2","2","2","4","2","2","4","2","2","3","1","5","2","group1",26
"227",139,"1","1","5","22","4","3","3","4","5","3","2","3","3","4","3","1","5","2","group2",34
"231",140,"1","1","1,2,3,5","22","2","2","4","2","4","1","1","1","2","2","2","2","5","2","group1",21
"232",141,"1","","1,2,3","29","1","2","1","1","5","1","1","3","2","2","2","2","5","2","group1",19
"233",142,"1","1","5","22","2","4","4","4","4","2","3","2","2","1","3","1","5","2","group2",28
"234",143,"1","1","1,5","38","2","2","3","4","5","1","2","2","3","1","1","1","5","2","group1",25
